Epoch,Axis1,VM
2000-01-07T17:00:00Z,0,87.4642784226795
2000-01-07T17:01:00Z,0,0
2000-01-07T17:02:00Z,0,0
2000-01-07T17:03:00Z,0,0
2000-01-07T17:04:00Z,0,0
2000-01-07T17:05:00Z,0,0
2000-01-07T17:06:00Z,0,0
2000-01-07T17:07:00Z,0,0
2000-01-07T17:08:00Z,0,0
2000-01-07T17:09:00Z,0,0
2000-01-07T17:10:00Z,0,0
2000-01-07T17:11:00Z,0,0
2000-01-07T17:12:00Z,0,0
2000-01-07T17:13:00Z,0,0
2000-01-07T17:14:00Z,0,0
2000-01-07T17:15:00Z,0,0
2000-01-07T17:16:00Z,0,0
2000-01-07T17:17:00Z,0,0
2000-01-07T17:18:00Z,0,0
2000-01-07T17:19:00Z,0,0
2000-01-07T17:20:00Z,0,0
2000-01-07T17:21:00Z,0,0
2000-01-07T17:22:00Z,0,0
2000-01-07T17:23:00Z,0,0
2000-01-07T17:24:00Z,0,0
2000-01-07T17:25:00Z,0,0
2000-01-07T17:26:00Z,0,0
2000-01-07T17:27:00Z,0,0
2000-01-07T17:28:00Z,0,0
2000-01-07T17:29:00Z,0,0
2000-01-07T17:30:00Z,0,0
2000-01-07T17:31:00Z,0,0
2000-01-07T17:32:00Z,0,0
2000-01-07T17:33:00Z,0,0
2000-01-07T17:34:00Z,0,0
2000-01-07T17:35:00Z,0,0
2000-01-07T17:36:00Z,0,0
2000-01-07T17:37:00Z,0,0
2000-01-07T17:38:00Z,0,0
2000-01-07T17:39:00Z,0,0
2000-01-07T17:40:00Z,0,26
2000-01-07T17:41:00Z,0,0
2000-01-07T17:42:00Z,0,0
2000-01-07T17:43:00Z,0,0
2000-01-07T17:44:00Z,0,0
2000-01-07T17:45:00Z,0,0
2000-01-07T17:46:00Z,0,0
2000-01-07T17:47:00Z,0,0
2000-01-07T17:48:00Z,0,0
2000-01-07T17:49:00Z,0,0
2000-01-07T17:50:00Z,0,0
2000-01-07T17:51:00Z,0,0
2000-01-07T17:52:00Z,0,0
2000-01-07T17:53:00Z,0,0
2000-01-07T17:54:00Z,0,0
2000-01-07T17:55:00Z,0,0
2000-01-07T17:56:00Z,0,0
2000-01-07T17:57:00Z,0,0
2000-01-07T17:58:00Z,0,0
2000-01-07T17:59:00Z,0,0
2000-01-07T18:00:00Z,0,0
2000-01-07T18:01:00Z,0,0
2000-01-07T18:02:00Z,0,0
