Epoch,Axis1,VM
2000-01-08T17:00:00Z,0,87
2000-01-08T17:01:00Z,0,0
2000-01-08T17:02:00Z,0,0
2000-01-08T17:03:00Z,0,0
2000-01-08T17:04:00Z,0,0
2000-01-08T17:05:00Z,0,0
2000-01-08T17:06:00Z,0,0
2000-01-08T17:07:00Z,0,0
2000-01-08T17:08:00Z,0,0
2000-01-08T17:09:00Z,0,0
2000-01-08T17:10:00Z,0,0
2000-01-08T17:11:00Z,0,0
2000-01-08T17:12:00Z,0,0
2000-01-08T17:13:00Z,0,0
2000-01-08T17:14:00Z,0,0
2000-01-08T17:15:00Z,0,0
2000-01-08T17:16:00Z,0,0
2000-01-08T17:17:00Z,0,0
2000-01-08T17:18:00Z,0,0
2000-01-08T17:19:00Z,0,0
2000-01-08T17:20:00Z,0,0
2000-01-08T17:21:00Z,0,0
2000-01-08T17:22:00Z,0,0
2000-01-08T17:23:00Z,0,0
2000-01-08T17:24:00Z,0,0
2000-01-08T17:25:00Z,0,0
2000-01-08T17:26:00Z,0,0
2000-01-08T17:27:00Z,0,0
2000-01-08T17:28:00Z,0,0
2000-01-08T17:29:00Z,0,0
2000-01-08T17:30:00Z,0,0
2000-01-08T17:31:00Z,0,0
2000-01-08T17:32:00Z,0,0
2000-01-08T17:33:00Z,0,0
2000-01-08T17:34:00Z,0,0
2000-01-08T17:35:00Z,0,0
2000-01-08T17:36:00Z,0,0
2000-01-08T17:37:00Z,0,0
2000-01-08T17:38:00Z,0,0
2000-01-08T17:39:00Z,0,0
2000-01-08T17:40:00Z,0,0
2000-01-08T17:41:00Z,0,0
2000-01-08T17:42:00Z,0,0
2000-01-08T17:43:00Z,0,0
2000-01-08T17:44:00Z,0,0
2000-01-08T17:45:00Z,0,0
2000-01-08T17:46:00Z,0,0
2000-01-08T17:47:00Z,0,0
2000-01-08T17:48:00Z,0,0
2000-01-08T17:49:00Z,0,0
2000-01-08T17:50:00Z,0,0
2000-01-08T17:51:00Z,0,0
2000-01-08T17:52:00Z,0,0
2000-01-08T17:53:00Z,0,0
2000-01-08T17:54:00Z,0,0
2000-01-08T17:55:00Z,0,0
2000-01-08T17:56:00Z,0,0
2000-01-08T17:57:00Z,0,0
2000-01-08T17:58:00Z,0,0
2000-01-08T17:59:00Z,0,0
2000-01-08T18:00:00Z,0,0
2000-01-08T18:01:00Z,0,0
2000-01-08T18:02:00Z,0,0
