Epoch,Axis1,VM
2000-01-08T16:00:00Z,58,72.8285658241325
2000-01-08T16:01:00Z,664,869.921539611294
2000-01-08T16:02:00Z,2624,4637.792390385
2000-01-08T16:03:00Z,3265,6499.88245397229
2000-01-08T16:04:00Z,2709,5547.35836461516
2000-01-08T16:05:00Z,1234,1871.87865259134
2000-01-08T16:06:00Z,1998,3528.15299280267
2000-01-08T16:07:00Z,0,0
2000-01-08T16:08:00Z,0,0
2000-01-08T16:09:00Z,5,5
2000-01-08T16:10:00Z,0,0
2000-01-08T16:11:00Z,0,0
2000-01-08T16:12:00Z,0,0
2000-01-08T16:13:00Z,0,0
2000-01-08T16:14:00Z,0,0
2000-01-08T16:15:00Z,0,0
2000-01-08T16:16:00Z,0,0
2000-01-08T16:17:00Z,0,0
2000-01-08T16:18:00Z,0,0
2000-01-08T16:19:00Z,0,0
2000-01-08T16:20:00Z,0,0
2000-01-08T16:21:00Z,0,0
2000-01-08T16:22:00Z,0,0
2000-01-08T16:23:00Z,0,0
2000-01-08T16:24:00Z,0,0
2000-01-08T16:25:00Z,0,0
2000-01-08T16:26:00Z,0,0
2000-01-08T16:27:00Z,0,0
2000-01-08T16:28:00Z,0,0
2000-01-08T16:29:00Z,0,0
2000-01-08T16:30:00Z,0,0
2000-01-08T16:31:00Z,0,0
2000-01-08T16:32:00Z,0,0
2000-01-08T16:33:00Z,0,0
2000-01-08T16:34:00Z,0,0
2000-01-08T16:35:00Z,0,0
2000-01-08T16:36:00Z,0,0
2000-01-08T16:37:00Z,0,0
2000-01-08T16:38:00Z,0,0
2000-01-08T16:39:00Z,0,0
2000-01-08T16:40:00Z,0,0
2000-01-08T16:41:00Z,0,0
2000-01-08T16:42:00Z,0,0
2000-01-08T16:43:00Z,0,0
2000-01-08T16:44:00Z,0,0
2000-01-08T16:45:00Z,0,0
2000-01-08T16:46:00Z,0,0
2000-01-08T16:47:00Z,0,0
2000-01-08T16:48:00Z,0,0
2000-01-08T16:49:00Z,0,0
2000-01-08T16:50:00Z,0,0
2000-01-08T16:51:00Z,0,0
2000-01-08T16:52:00Z,0,0
2000-01-08T16:53:00Z,0,0
2000-01-08T16:54:00Z,0,0
2000-01-08T16:55:00Z,0,0
2000-01-08T16:56:00Z,0,0
2000-01-08T16:57:00Z,0,0
2000-01-08T16:58:00Z,0,0
2000-01-08T16:59:00Z,0,0
2000-01-08T17:00:00Z,0,0
2000-01-08T17:01:00Z,0,0
2000-01-08T17:02:00Z,0,0
