Epoch,Axis1,VM
2000-01-08T21:00:00Z,0,90
2000-01-08T21:01:00Z,0,0
2000-01-08T21:02:00Z,0,0
2000-01-08T21:03:00Z,0,0
2000-01-08T21:04:00Z,0,0
2000-01-08T21:05:00Z,0,0
2000-01-08T21:06:00Z,0,0
2000-01-08T21:07:00Z,0,0
2000-01-08T21:08:00Z,0,0
2000-01-08T21:09:00Z,0,0
2000-01-08T21:10:00Z,0,0
2000-01-08T21:11:00Z,0,0
2000-01-08T21:12:00Z,0,0
2000-01-08T21:13:00Z,0,0
2000-01-08T21:14:00Z,0,0
2000-01-08T21:15:00Z,0,0
2000-01-08T21:16:00Z,0,0
2000-01-08T21:17:00Z,0,0
2000-01-08T21:18:00Z,0,0
2000-01-08T21:19:00Z,0,0
2000-01-08T21:20:00Z,0,0
2000-01-08T21:21:00Z,0,0
2000-01-08T21:22:00Z,0,0
2000-01-08T21:23:00Z,0,0
2000-01-08T21:24:00Z,0,0
2000-01-08T21:25:00Z,0,0
2000-01-08T21:26:00Z,0,0
2000-01-08T21:27:00Z,0,0
2000-01-08T21:28:00Z,0,0
2000-01-08T21:29:00Z,0,0
2000-01-08T21:30:00Z,0,0
2000-01-08T21:31:00Z,0,0
2000-01-08T21:32:00Z,0,0
2000-01-08T21:33:00Z,0,0
2000-01-08T21:34:00Z,0,0
2000-01-08T21:35:00Z,0,0
2000-01-08T21:36:00Z,0,0
2000-01-08T21:37:00Z,0,0
2000-01-08T21:38:00Z,0,0
2000-01-08T21:39:00Z,0,0
2000-01-08T21:40:00Z,0,0
2000-01-08T21:41:00Z,0,0
2000-01-08T21:42:00Z,0,0
2000-01-08T21:43:00Z,0,0
2000-01-08T21:44:00Z,0,0
2000-01-08T21:45:00Z,0,0
2000-01-08T21:46:00Z,0,0
2000-01-08T21:47:00Z,0,0
2000-01-08T21:48:00Z,0,0
2000-01-08T21:49:00Z,0,0
2000-01-08T21:50:00Z,0,0
2000-01-08T21:51:00Z,0,0
2000-01-08T21:52:00Z,0,0
2000-01-08T21:53:00Z,0,0
2000-01-08T21:54:00Z,0,0
2000-01-08T21:55:00Z,0,0
2000-01-08T21:56:00Z,0,0
2000-01-08T21:57:00Z,0,0
2000-01-08T21:58:00Z,0,0
2000-01-08T21:59:00Z,0,0
2000-01-08T22:00:00Z,0,0
2000-01-08T22:01:00Z,0,0
2000-01-08T22:02:00Z,0,0
