Epoch,Axis1,VM
2000-01-09T20:00:00Z,0,86
2000-01-09T20:01:00Z,0,0
2000-01-09T20:02:00Z,0,0
2000-01-09T20:03:00Z,0,0
2000-01-09T20:04:00Z,0,0
2000-01-09T20:05:00Z,0,0
2000-01-09T20:06:00Z,0,0
2000-01-09T20:07:00Z,0,0
2000-01-09T20:08:00Z,0,0
2000-01-09T20:09:00Z,0,0
2000-01-09T20:10:00Z,0,0
2000-01-09T20:11:00Z,0,0
2000-01-09T20:12:00Z,0,0
2000-01-09T20:13:00Z,0,0
2000-01-09T20:14:00Z,0,0
2000-01-09T20:15:00Z,0,0
2000-01-09T20:16:00Z,0,0
2000-01-09T20:17:00Z,0,0
2000-01-09T20:18:00Z,0,0
2000-01-09T20:19:00Z,0,0
2000-01-09T20:20:00Z,0,0
2000-01-09T20:21:00Z,0,0
2000-01-09T20:22:00Z,0,0
2000-01-09T20:23:00Z,0,0
2000-01-09T20:24:00Z,0,0
2000-01-09T20:25:00Z,0,0
2000-01-09T20:26:00Z,0,0
2000-01-09T20:27:00Z,0,0
2000-01-09T20:28:00Z,0,0
2000-01-09T20:29:00Z,0,0
2000-01-09T20:30:00Z,0,0
2000-01-09T20:31:00Z,0,0
2000-01-09T20:32:00Z,0,0
2000-01-09T20:33:00Z,0,0
2000-01-09T20:34:00Z,0,0
2000-01-09T20:35:00Z,0,0
2000-01-09T20:36:00Z,0,0
2000-01-09T20:37:00Z,0,0
2000-01-09T20:38:00Z,0,0
2000-01-09T20:39:00Z,216,451.07121882644
2000-01-09T20:40:00Z,0,0
2000-01-09T20:41:00Z,0,0
2000-01-09T20:42:00Z,0,0
2000-01-09T20:43:00Z,0,0
2000-01-09T20:44:00Z,0,0
2000-01-09T20:45:00Z,0,0
2000-01-09T20:46:00Z,0,0
2000-01-09T20:47:00Z,0,0
2000-01-09T20:48:00Z,0,0
2000-01-09T20:49:00Z,0,0
2000-01-09T20:50:00Z,0,0
2000-01-09T20:51:00Z,0,0
2000-01-09T20:52:00Z,0,0
2000-01-09T20:53:00Z,0,0
2000-01-09T20:54:00Z,0,0
2000-01-09T20:55:00Z,0,0
2000-01-09T20:56:00Z,0,0
2000-01-09T20:57:00Z,0,0
2000-01-09T20:58:00Z,0,0
2000-01-09T20:59:00Z,0,0
2000-01-09T21:00:00Z,0,0
2000-01-09T21:01:00Z,0,0
2000-01-09T21:02:00Z,0,0
